OBJECTID,CTLabel,BoroCode,BoroName,CT2010,BoroCT2010,CDEligibil,NTACode,NTAName,PUMA,Shape__Area,Shape__Length,population,pop_2020,popchange10to20,area_km2,area_hectares,pop_growth_rate,pop_growth_density,JoinKey,less than high school,commuting time,GEOID,citizen ratio,unemployment,unrelated individual,per capita income,GINI index,gross rent,%structure early built,median structure year,facility density,pop_density,tree_count,good_tree_count,ComFAR,ResFAR,assesstot,NumFloors,Avr floor area,building_count,avr height,building density,growth_classify,growth_classify2,pop change type,tree density,good tree density,popchange10to20_binary
1,9,5,Staten Island,900,5000900,E,SI22,West New Brighton-New Brighton-St. George,3903,2497009.71356201,7729.01679383114,2112,2240,128,0.23197969341905142,23.197969341905143,0.06060606060606061,5.517724336706445,Staten Island_900,0.161431065,47.1548913,14000US36085000900,0.864361702,9.3,35.2,29864,0.527,1092,0.6241050119331742,1939,3.621,91.04245155565634,243,80,0.24317481109921885,0.503421247410768,114663.33608815428,2.1696694214876033,1780.2219428890667,407,30.06248856886978,17.544639101871272,2,2,1,10.475054795466141,3.448577710441528,1
2,102,1,Manhattan,10200,1010200,I,MN17,Midtown-Midtown South,3807,1860992.68164063,5687.80243891035,230,283,53,0.17289180310245944,17.289180310245943,0.23043478260869565,3.065501027170794,Manhattan_10200,0,18.01769912,14000US36061010200,0.968253968,0,34.8,38129,0.472,1078,0.15139442231075698,1971,5.61,13.303117665080803,131,75,14.913108967426568,0.40248821213825325,27418862.61320755,15.84433962264151,10540.359035427211,99,219.23039758828284,5.726124560186954,2,2,1,7.576993104893849,4.337973151656784,1
3,104,1,Manhattan,10400,1010400,I,MN17,Midtown-Midtown South,3807,1864600.43539429,5693.03636706633,966,983,17,0.1732269742494357,17.32269742494357,0.017598343685300208,0.9813714101777875,Manhattan_10400,0.012672811,21.644,14000US36061010400,0.879714577,7.3,6.4,101673,0.571,1671,0.6881091617933723,1939,5.888,55.76498719010252,197,107,14.325349235892652,0.6857853685827563,23287205.110091742,10.385321100917432,15937.715547703181,104,180.93796754557692,6.003683921087641,1,1,1,11.372362812060244,6.176867111119016,1
4,113,1,Manhattan,11300,1011300,I,MN17,Midtown-Midtown South,3807,1890907.25102234,5699.8606403743,117,216,99,0.17567095634172844,17.567095634172844,0.8461538461538461,5.63553600786562,Manhattan_11300,0.489655172,15.10810811,14000US36061011300,0.743589744,41.3,50.8,36796,0.305,1526,0.6666666666666666,1939,11.84,6.660178918386642,8,2,19.53230666276863,0.055635731921027595,19323650.151785713,15.473214285714286,13331.112521638777,110,209.79556414318182,6.261706675406245,2,2,1,0.4553968491204542,0.11384921228011355,1
5,130,1,Manhattan,13000,1013000,I,MN40,Upper East Side-Carnegie Hill,3805,1918144.5637207,5807.97295648887,4195,3911,-284,0.1782013844033442,17.82013844033442,-0.067699642,-15.93702546,Manhattan_13000,0.023262332,22.95014409,14000US36061013000,0.930212014,0,5.2,219661,0.592,1634,0.8905982905982905,1939,3.086,235.40782323581513,525,243,1.4051537793522093,6.085673628367282,3549477.654761905,7.226190476190476,4784.215815485997,248,93.15018033419355,13.91683913289205,0,0,0,29.461050583743255,13.636257698761163,0
6,184,1,Manhattan,18400,1018400,E,MN34,East Harlem North,3804,1903568.36592102,5771.87384935331,7835,7820,-15,0.17684721189916053,17.684721189916054,-0.001914486,-0.848189793,Manhattan_18400,0.357186173,39.37804421,14000US36061018400,0.844557742,15.1,37.6,16220,0.534,573,0.3176813471502591,1967,6.22,443.0378017193491,423,228,0.332739722490293,2.5528181856326273,561360.7116564417,4.276073619631902,4990.67862266858,167,53.36992276634731,9.443179692039731,1,1,0,23.91895215408866,12.892484849012328,0
7,206,1,Manhattan,20600,1020600,E,MN03,Central Harlem North-Polo Grounds,3803,1602693.79954529,5176.87308126434,2942,3628,686,0.14889506205915606,14.889506205915607,0.23317471108089735,46.072716617523014,Manhattan_20600,0.302145139,40.92120462,14000US36061020600,0.912756114,16.7,52.6,28899,0.608,760,0.695040710584752,1939,6.716,197.5888225783567,194,80,0.7414813336980689,2.274936908290261,273079.5945945946,3.1486486486486487,3144.709227467811,249,52.1837059097992,16.7231872270601,2,2,1,13.029310530319918,5.3729115588948115,1
8,249,1,Manhattan,24900,1024900,I,MN36,Washington Heights South,3801,652856.294250488,3927.82154510354,1101,1084,-17,0.060652308304753086,6.065230830475309,-0.015440509,-2.802861173,Manhattan_24900,0.377668309,39.11585366,14000US36061024900,0.815458937,17.6,45.8,15006,0.447,811,0.855191256830601,1939,9.728,181.52647949817913,15,9,1.0005706490004354,0.9176726014162712,1098927.487804878,2.8292682926829267,6230.387931034483,31,52.44133207483871,5.111099786052273,1,1,0,2.473112799702713,1.4838676798216277,0
9,269,1,Manhattan,26900,1026900,E,MN35,Washington Heights North,3801,1889655.56072998,6017.03677741851,8428,7848,-580,0.17555467055849733,17.555467055849732,-0.068818225,-33.03814123,Manhattan_26900,0.438999315,40.34048535,14000US36061026900,0.667745641,16.8,56,13078,0.489,913,0.9450588655012486,1939,3.76,480.078369500951,178,73,1.0111017944290654,1.9921330698988835,477755.3198198198,3.418918918918919,4383.888010540184,204,49.77651609612745,11.620311743971762,0,0,0,10.139291619740066,4.158248810342836,0
10,5.01,3,Brooklyn,501,3000501,I,BK09,Brooklyn Heights-Cobble Hill,4004,901507.00038147,4828.17027428158,4247,4404,157,0.0837527048564397,8.37527048564397,0.036967271014834,18.74566323190556,Brooklyn_501,0.050273224,34.56948566,14000US36047000501,0.863784424,7,8.7,87852,0.583,1453,0.9632023868722028,1939,5.373,507.08810029237526,175,99,1.162492081966855,3.3818785475128794,686256.2901234567,4.234567901234568,4245.886297376093,167,55.00964056898203,19.939654520561966,1,1,1,20.89484755148709,11.82051375769841,1
